Stock.Name,Jurisdiction,FMP,Science.Center,Regional.Ecosystem,Common.Name,Stock.Area,Assessment.Level,Model.Category,F.Flimit,F.Fmsy,B.Blimit,B.Bmsy,Genus,Species,overfishing,overfished,scientific_name,Mean.Gap,Exposure,Sensitivity,Loo,tmax,tm,M,h,r,Fmsy_over_M,Assessment.Level_scored,Model.Category_scored,status,scored_gap,avg_p_score,avg_s_score,distance,family,phylopic_uuid
Yellowfin tuna - Western Atlantic,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,Yellowfin tuna,Western Atlantic,4,6,NA,0.887000024,NA,1.370000005,Thunnus,albacares,Unknown,Unknown,Thunnus albacares,NA,1,3,1,3,2,3,2,2,3,1,1,NA,NA,2.285714286,1.666666667,0.977061168,Scombridae,47bb7c53-4c69-4805-b067-5e7ac1d75ef9
Pacific hake - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Pacific hake,Pacific Coast,4,6,0.550999999,0.550999999,3.931999922,2.457999945,Merluccius,productus,Unknown,Unknown,Merluccius productus,NA,NA,NA,2,2,2,3,1,1,1,1,1,NA,NA,1.833333333,1,1.166666667,Merlucciidae,a1e87ee1-590c-4e06-80b5-04ceeab1b0f0
Chinook salmon - California Central Valley: Sacramento River Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,California Central Valley: Sacramento River Fall,NA,3,0.962000012,0.962000012,1.04400003,0.782999992,Oncorhynchus,tshawytscha,No,No,Oncorhynchus tshawytscha,2.25,1,2,2,3,2,3,2,3,3,NA,2,1,2,2.428571429,1.8,0.983122888,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - California Central Valley: Sacramento River Spring,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,California Central Valley: Sacramento River Spring,NA,2,NA,NA,NA,NA,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,2.75,1,2,2,3,2,3,2,3,3,NA,3,NA,2,2.428571429,2.25,1.3744201,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - California Central Valley: Sacramento River Winter,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,California Central Valley: Sacramento River Winter,NA,4,NA,NA,NA,NA,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,1,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Columbia River Basin: Lower River Hatchery Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Columbia River Basin: Lower River Hatchery Fall,NA,4,NA,NA,NA,NA,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Columbia River Basin: Lower River Hatchery Spring,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Columbia River Basin: Lower River Hatchery Spring,NA,2,NA,NA,NA,NA,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0.5,1,2,2,3,2,3,2,3,3,NA,3,NA,1,2.428571429,2,1.151751107,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Columbia River Basin: Mid-River Bright Hatchery Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Columbia River Basin: Mid-River Bright Hatchery Fall,NA,4,NA,NA,NA,NA,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Columbia River Basin: North Lewis River Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Columbia River Basin: North Lewis River Fall,NA,4,NA,NA,NA,1.411000013,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0.75,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Columbia River Basin: Snake River Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Columbia River Basin: Snake River Fall,NA,4,NA,NA,NA,NA,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Columbia River Basin: Snake River Spring/Summer,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Columbia River Basin: Snake River Spring/Summer,NA,4,NA,NA,NA,NA,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
