"Stock.Name","Jurisdiction","FMP","Science.Center","Regional.Ecosystem","Common.Name","Stock.Area","Assessment.Level","Model.Category","F.Flimit","F.Fmsy","B.Blimit","B.Bmsy","Genus","Species","overfishing","overfished","scientific_name","Mean.Gap","Exposure","Sensitivity","Loo","tmax","tm","M","h","r","Fmsy_over_M","Assessment.Level_scored","Model.Category_scored","status","scored_gap","avg_p_score","avg_s_score","distance"
"Blue marlin - Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Blue marlin","Atlantic",NA,6,NA,NA,NA,NA,"Makaira","nigricans","Unknown","Unknown","Makaira _ nigricans",1.5,NA,NA,1,2,2,2,1,1,1,NA,1,NA,1,1.5,1,1.5
"Yellowfin tuna - Western Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Yellowfin tuna","Western Atlantic",4,6,NA,0.887000024,NA,1.370000005,"Thunnus","albacares","Unknown","Unknown","Thunnus _ albacares",NA,1,3,1,3,2,3,2,2,3,1,1,NA,NA,2.28571428571429,1.66666666666667,0.977061168032533
"Red grouper - Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico","Red grouper","Gulf of Mexico",5,6,0.783999979,0.783999979,1.639000058,0.819999993,"Epinephelus","morio","No","No","Epinephelus _ morio",1.5,2,2,2,2,1,2,3,2,3,1,1,1,1,2,1.6,1.16619037896906
"Yellowedge grouper - Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico","Yellowedge grouper","Gulf of Mexico",NA,6,0.769999981,0.769999981,2.323999882,1.743000031,"Hyporthodus","flavolimbatus","Unknown","Unknown","Hyporthodus _ flavolimbatus",0.75,2,2,2,2,1,2,3,2,3,NA,1,NA,1,2,1.75,1.25
"Tilefish - Mid-Atlantic Coast","MAFMC","Tilefish","NEFSC","Northeast Shelf","Tilefish","Mid-Atlantic Coast",NA,6,1.22300005,1.22300005,1.164999962,0.582000017,"Lopholatilus","chamaeleonticeps","No","No","Lopholatilus _ chamaeleonticeps",2,1,2,2,1,1,1,3,2,3,NA,1,1,2,1.71428571428571,1.6,1.41882388776402
"Atlantic salmon - Gulf of Maine","NEFMC","Atlantic Salmon","NEFSC","Northeast Shelf","Atlantic salmon","Gulf of Maine",NA,2,NA,NA,NA,NA,"Salmo","salar","Unknown","Unknown","Salmo _ salar",0,NA,NA,2,3,3,3,3,3,3,NA,3,NA,1,2.83333333333333,2.33333333333333,1.34370962471643
"Pacific sardine - Northern Subpopulation","PFMC","Coastal Pelagic Species","SWFSC","California Current","Pacific sardine","Northern Subpopulation",4,6,NA,NA,1.169999957,NA,"Sardinops","sagax","Unknown","Unknown","Sardinops _ sagax",0,NA,NA,3,2,2,2,2,2,3,1,1,NA,1,2.16666666666667,1.66666666666667,1.06718737290548
"Pacific hake - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Pacific hake","Pacific Coast",4,6,0.550999999,0.550999999,3.931999922,2.457999945,"Merluccius","productus","Unknown","Unknown","Merluccius _ productus",NA,NA,NA,2,2,2,3,1,1,1,1,1,NA,NA,1.83333333333333,1,1.16666666666667
"Chinook salmon - California Central Valley: Sacramento River Fall","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","California Central Valley: Sacramento River Fall",NA,3,0.962000012,0.962000012,1.04400003,0.782999992,"Oncorhynchus","tshawytscha","No","No","Oncorhynchus _ tshawytscha",2.25,1,2,2,3,2,3,2,3,3,NA,2,1,2,2.42857142857143,1.8,0.983122887662015
"Chinook salmon - California Central Valley: Sacramento River Spring","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","California Central Valley: Sacramento River Spring",NA,2,NA,NA,NA,NA,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",2.75,1,2,2,3,2,3,2,3,3,NA,3,NA,2,2.42857142857143,2.25,1.37442010034956
