"survey","p_score","s_score","distance","n_stocks","n_species","type","region","type_and_region"
"AFSC Pacific Ocean Perch Survey - West Coast (1979, 1985). This survey has been discontinued.",1.428571429,1.2,1.584104717,1,1,"bottom trawl","West Coast","West Coast bottom trawl"
"AFSC slope trawl survey",1.8262987012803,2.36616161618182,1.91204615373485,52,91,"bottom trawl","Alaska","Alaska bottom trawl"
"AFSC/NWFSC shelf bottom trawl survey",1.725340136,1.65952380957143,1.48655181596429,27,27,"bottom trawl","West Coast","West Coast bottom trawl"
"Age-0 Gag Grouper survey developed for the Gulf of Mexico using three available databases, the Florida State University Estuarine Gag Survey, the NMFS PC Lab St. Andrew Bay Survey, and the State of Florida FWC Estuarine (FIM) Survey.",2,2,1.414213562,1,1,"inshore net","Gulf of Mexico","Gulf of Mexico inshore net"
"Alaska Department of Fish and Game Large-mesh Trawl Survey of Gulf of Alaska and Eastern Aleutian Islands_Summer",2.166666667,1.666666667,1.067187373,1,1,"bottom trawl","Alaska","Alaska bottom trawl"
"Alaska Department of Fish and Game SEO ROV survey",1.333333333,3,2.603416559,1,1,"visual","Alaska","Alaska visual"
"Alaska Department of Fish and Game SEO Submersible Survey",1.333333333,3,2.603416559,1,1,"visual","Alaska","Alaska visual"
"Aleutian Islands Cooperative Acoustic Survey Studies",2.166666667,1.666666667,1.067187373,1,1,"acoustic-trawl","Alaska","Alaska acoustic-trawl"
"Atlantic Herring Acoustic Survey",2,2,1.414213562,1,1,"acoustic-trawl","Northeast Shelf","Northeast Shelf acoustic-trawl"
"Bering Sea Biennial Walleye Pollock Accoustic_Summer",2.166666667,1.666666667,1.067187373,1,1,"acoustic-trawl","Alaska","Alaska acoustic-trawl"
"Bottom Trawl Survey_Fall",2.08913308907692,1.90427350430769,1.33624512274359,39,27,"bottom trawl","Northeast Shelf","Northeast Shelf bottom trawl"
"Bottom Trawl Survey_Spring",2.12672811054839,1.85430107529032,1.26807619612903,31,22,"bottom trawl","Northeast Shelf","Northeast Shelf bottom trawl"
"Bottom Trawl Survey_Winter",2.55952380925,1.6083333335,0.7601327045,4,4,"bottom trawl","Northeast Shelf","Northeast Shelf bottom trawl"
"CCFRP Hook-and-Line Survey",1.5,2,1.802775638,3,3,"hook and line","West Coast","West Coast hook and line"
"CDFG and Interagency Ecological Program Pre-Recruit Survey",2.428571429,1.5,0.759296129,1,1,"midwater trawl","West Coast","West Coast midwater trawl"
"CT bottom trawl survey spring and fall",2.706349206,1.7,0.759856113666667,3,3,"bottom trawl","Northeast Shelf","Northeast Shelf bottom trawl"
"CalCOFI_Fall",1.5,1.666666667,1.6414763,1,1,"midwater trawl","West Coast","West Coast midwater trawl"
"CalCOFI_Spring",1.55555555566667,1.666666667,1.59122152833333,3,3,"midwater trawl","West Coast","West Coast midwater trawl"
"CalCOFI_Winter",1.55555555566667,1.666666667,1.59122152833333,3,3,"midwater trawl","West Coast","West Coast midwater trawl"
"California Current Ecosystem Survey (CCES)",2.611111111,1.69444444466667,0.840889005,3,3,"acoustic-trawl","West Coast","West Coast acoustic-trawl"
"California State University Northridge with Vantuna Research Group (CSUN/VRG) gillnet survey (1995-2008)",2.166666667,1.666666667,1.067187373,1,1,"inshore net","West Coast","West Coast inshore net"
"Combined LA/OC Sanitation District Trawl Survey Index",1.5,1.666666667,1.6414763,1,1,"bottom trawl","West Coast","West Coast bottom trawl"
"Coral Reef Ecosystem Research",2.45989974947368,2.59649122789474,1.73532595947368,19,19,"visual","Pacific Islands","Pacific Islands visual"
"Cowcod",1.5,1.666666667,1.6414763,1,1,"hook and line","West Coast","West Coast hook and line"
"DE DFW spring trawl",2.714285714,1.6,0.664554477,1,1,"bottom trawl","Northeast Shelf","Northeast Shelf bottom trawl"
"DE, NY, NJ trawl surveys",2.833333333,1.5,0.527046277,1,1,"bottom trawl","Northeast Shelf","Northeast Shelf bottom trawl"
"DFO Canada bottom trawl",2.2571428572,2.03,1.318106084,5,4,"bottom trawl","Northeast Shelf","Northeast Shelf bottom trawl"
"Dry Tortugas Reef Fish Visual Census (RVC)",1.857142857,1.75,1.366975658,1,1,"visual","Gulf of Mexico","Gulf of Mexico visual"
"Ecological Monitoring Trawl Survey (GADNR)",2.714285714,2,1.040015698,1,1,"bottom trawl","Southeast Shelf","Southeast Shelf bottom trawl"
"Epifaunal (small fish and macro-invertebrates) Sampling",2.428571429,1.75,0.942884199,1,1,"visual","Southeast Shelf","Southeast Shelf visual"
"FWC-FWRI Baitfish Survey",2.428571429,1.75,0.942884199,1,1,"bottom trawl","Gulf of Mexico","Gulf of Mexico bottom trawl"
"FWC-FWRI Juvenile Seagrass Survey",2.428571429,1.75,0.942884199,1,1,"inshore net","Gulf of Mexico","Gulf of Mexico inshore net"
"FWRI FIM Inshore Seine Survey",2.142857143,1.75,1.138944194,1,1,"inshore net","Gulf of Mexico","Gulf of Mexico inshore net"
"FWRI Hook and Line Repetitive Time Drop Survey - 2014 - 2017",2,1.6,1.166190379,1,1,"hook and line","Gulf of Mexico","Gulf of Mexico hook and line"
"Fishery Independent Survey - Florida Fish & Wildlife Research Institute Video Survey (Part of three-survey abundance index)",2.142857143,1.75,1.138944194,1,1,"visual","Gulf of Mexico","Gulf of Mexico visual"
