"type_and_region","n_stocks","n_species","n_surveys","avg_p_score_mean","avg_p_score_se","avg_s_score_mean","avg_s_score_se","distance_mean","distance_se"
"Alaska acoustic-trawl",2,1,2,2.166666667,0,1.666666667,0,1.067187373,0
"Alaska bottom trawl",68,107,8,1.9708249496831,0.0285615394848894,2.46801643194014,0.0357901729974638,1.90940680875352,0.0239112543376875
"Alaska hook and line",7,7,1,1.666666666625,0.0798595706516123,1.718750000125,0.148519061727957,1.55441421875,0.105033338769264
"Alaska visual",1,1,2,1.333333333,0,3,0,2.603416559,0
"Caribbean Sea visual",2,2,1,2.5,0.5,1.8,0.2,1.0830951895,0.0830951895000001
"Gulf of Mexico bottom trawl",9,8,4,2.38095238108333,0.122251266210136,1.65416666666667,0.0391473195284508,0.980400603083333,0.0532791720440812
"Gulf of Mexico hook and line",5,5,4,1.93877551014286,0.0754458266496596,1.63571428571429,0.0432521479156784,1.24915720057143,0.0505194441624582
"Gulf of Mexico inshore net",4,4,4,2.142857143,0.101015254556236,1.775,0.082915619758885,1.1655580835,0.0966617404225947
"Gulf of Mexico midwater trawl",5,4,2,2.0285714286,0.130930734272526,1.51,0.0714142842854285,1.1214886828,0.0935521675726769
"Gulf of Mexico visual",13,12,7,2.14285714295,0.0567656724626744,1.775,0.0329473263830235,1.1756455871,0.042935582485066
"Northeast Shelf acoustic-trawl",1,1,1,2,NA,2,NA,1.414213562,NA
"Northeast Shelf bottom trawl",43,31,18,2.27077922065455,0.040687427674285,1.82136363639091,0.035358374034838,1.14582293109091,0.0439150817316811
"Northeast Shelf inshore net",2,2,2,2.6428571425,0.0714285714999998,1.8,0.2,0.876261032,0.211706555
"Northeast Shelf midwater trawl",3,3,2,2.3666666666,0.122474487030293,1.7666666668,0.0999999999666667,1.0032161838,0.143567212046585
"Northeast Shelf visual",1,1,1,2.333333333,NA,1.666666667,NA,0.942809042,NA
"Pacific Islands hook and line",2,7,2,2.1577380955,0.136400097651261,2.541666666875,0.0668153105337855,1.78537792025,0.0926219782563243
"Pacific Islands visual",19,19,1,2.45989974947368,0.0910935537508593,2.59649122789474,0.0829090461055434,1.73532595947368,0.0753625882792086
"Southeast Shelf bottom trawl",3,3,4,2.303571428375,0.175872460755425,1.74375,0.104981928717008,1.142805731,0.0607549795900746
"Southeast Shelf hook and line",3,3,1,1.968253968,0.187140097153739,1.688888889,0.173561103901924,1.26930030666667,0.170637411502941
"Southeast Shelf visual",14,14,4,2.24675324681818,0.0541434667331921,1.75227272727273,0.0398152215784714,1.08740499036364,0.0466483392667555
"West Coast acoustic-trawl",4,4,2,2.4166666665,0.249999999944444,1.5208333335,0.174718689288164,0.9223334205,0.11536328348036
"West Coast bottom trawl",37,37,7,1.71394557821429,0.042377647982176,1.66428571434286,0.0379866032127024,1.49543037157143,0.0345530337746103
"West Coast hook and line",14,14,5,1.55882352941176,0.0492591187741728,1.82843137264706,0.0641014550366057,1.68206601905882,0.0490595196945973
"West Coast inshore net",1,1,1,2.166666667,NA,1.666666667,NA,1.067187373,NA
"West Coast midwater trawl",9,10,5,1.589285714375,0.0583819040085233,1.6770833335,0.0468170938704254,1.5742178250625,0.0602213583678329
"West Coast predator food habits",1,1,2,1.666666667,0,1.666666667,0,1.490711985,0
"West Coast visual",2,3,3,1.5,0,2,0,1.802775638,0
