Ecosystem,Survey Type,Survey Name,Entity Name,Assessment Year,Assessment Month,Degree of Influence
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Coho salmon - Auke Creek,2022,7,Primary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Coho salmon - Berners River,2022,7,Primary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Coho salmon - Ford Arm Lake,2016,8,Primary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Coho salmon - Hugh Smith Lake,2022,7,Primary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Golden king crab - Eastern Aleutian Islands | Asmt,2024,6,Primary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Golden king crab - Pribilof Islands,2017,6,Primary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Golden king crab - Western Aleutian Islands | Asmt,2024,6,Primary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Gulf of Alaska Shark Complex,2020,12,Exploratory
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Pacific cod - Bering Sea,2023,12,Exploratory
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Pacific cod - Bering Sea / Aleutian Islands,2012,12,Exploratory
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Pacific cod - Gulf of Alaska,2023,12,Exploratory
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Pacific sleeper shark - Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Red king crab - Norton Sound,2024,2,Exploratory
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Red king crab - Norton Sound,2024,2,Secondary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Red king crab - Pribilof Islands,2022,10,Secondary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Red king crab - Western Aleutian Islands,2017,10,Primary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,2023,12,Secondary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Southern Tanner crab - Bering Sea,2023,10,Secondary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Walleye pollock - Eastern Bering Sea,2023,12,Secondary
Alaska Ecosystem Complex,FINSS Survey,Alaska Department of Fish and Game Large-mesh Trawl Survey of Gulf of Alaska and Eastern Aleutian Islands_Summer,Longnose skate - Gulf of Alaska,2023,12,Exploratory
Alaska Ecosystem Complex,FINSS Survey,Alaska Department of Fish and Game Large-mesh Trawl Survey of Gulf of Alaska and Eastern Aleutian Islands_Summer,Walleye pollock - Western / Central / West Yakutat Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Islands Cooperative Acoustic Survey Studies,Walleye pollock - Aleutian Islands,2023,12,Secondary
Alaska Ecosystem Complex,FINSS Survey,Bering Sea Biennial Walleye Pollock Accoustic_Summer,Walleye pollock - Eastern Bering Sea,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Alaska skate - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Aleutian Islands Blackspotted and Rougheye rockfish Complex | Asmt,2008,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Arrowtooth flounder - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Atka mackerel - Aleutian Islands,2007,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Atka mackerel - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Bering Sea / Aleutian Islands Blackspotted and Rougheye Rockfish Complex,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Bering Sea / Aleutian Islands Other Flatfish Complex,2020,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Bering Sea / Aleutian Islands Other Rockfish Complex,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Bering Sea / Aleutian Islands Other Skates Complex,2023,12,Primary
