FY,Science Center,FINSS Standard Name,VPASS Project Name,Cruise/Leg/Date/Platform
2023,AFSC,Alaska W. Stock Steller Sea Lion (SSL) Abundance Trend Monitoring,,Cruise: 2023/06/20 ~ 2023/07/12 on NA
2023,AFSC,Aleutian Island Coral Drop Camera Study,,Cruise: 2023/07/01 ~ 2023/07/15 on Woldstad
2023,AFSC,Aleutian Islands Steller Sea Lion Vital Rates Studies,,Cruise: 2023/07/12 ~ 2023/07/18 on NA
2023,AFSC,Bogoslof Island Northern Fur Seal (NFS) Abundance Trend Monitoring,,Cruise: 2023/07/05 ~ 2023/07/11 on Tiglax
2023,AFSC,California Sea Lion Abundance and Demography,,Cruise: 2023/05/30 ~ NA on NA
2023,AFSC,California Sea Lion Marking for Vital Rates,,Cruise: 2023/09/20 ~ NA on NA
2023,AFSC,California Sea Lion Pup Condition Assessment for Stranding Program,,Cruise: 2023/01/23 ~ 2023/02/02 on NA
2023,AFSC,Cook Inlet Beluga (CIB) Demography and Condition_UAS,,Cruise: 2023/07/20 ~ 2023/08/30 on NA
2023,AFSC,Cook Inlet Beluga (CIB) Health and genetics_Biopsy,,Cruise: 2023/08/15 ~ 2023/08/30 on NA
2023,AFSC,Eastern Bering Sea Groundfish Bottom Trawl,,"Cruise: 2023/05/17 ~ 2023/07/29 on Alaska Knight
Cruise: 2023/05/21 ~ 2023/07/28 on Northwest Explorer"
2023,AFSC,Eastern Bering Sea/Gulf of Alaska ECOFOCI Mooring_Fall,,Cruise: 2023/08/15 ~ 2023/09/08 on NA
2023,AFSC,Eastern Bering Sea/Gulf of Alaska ECOFOCI Mooring_Spring,,Cruise: 2023/04/21 ~ 2023/05/07 on Oscar Dyson
2023,AFSC,GOA Coral Settlement Plate Recovery,,Cruise: 2023/08/05 ~ 2023/08/13 on NA
2023,AFSC,GOA/EBS/AI Longline Survey,,Cruise: 2023/05/29 ~ 2023/08/28 on Alaskan Leader
