Rank,FY,Center,Standard Survey Name,Project Name in VPASS,Survey Operations
,2024,AFSC,Bering Sea Biennial Walleye Pollock Accoustic_Summer,Bering Sea Biennial Walleye Pollock Acoustic_Summer,"Cruise: 2024/06/05 ~ 2024/06/25 on Oscar Dyson
Cruise: 2024/06/29 ~ 2024/07/20 on Oscar Dyson
Cruise: 2024/07/24 ~ 2024/08/14 on Oscar Dyson"
,2024,AFSC,Bering Sea/Bogoslof Walleye Pollock Acoustic Trawl Survey_Winter,Bering Sea/Bogoslof Walleye Pollock Acoustic Trawl Survey_Winter,Cruise: 2024/02/18 ~ 2024/02/28 on Oscar Dyson
,2024,AFSC,Eastern Bering Sea Ichthyoplankton Survey_Spring,Eastern Bering Sea Ichthyoplankton Survey_Spring,Cruise: 2024/05/17 ~ 2024/05/31 on Oscar Dyson
,2024,AFSC,Eastern Bering Sea Juvenile Fish Survey_Fall,Eastern Bering Sea Juvenile Fish Survey_Fall,Cruise: 2024/08/24 ~ 2024/09/07 on Oscar Dyson
,2024,AFSC,Gulf of Alaska/Shelikof Walleye Pollock Acoustic Trawl Survey_Winter,Gulf of Alaska/Shelikof Walleye Pollock Acoustic Trawl Survey_Winter,Cruise: 2024/03/04 ~ 2024/03/20 on Oscar Dyson
,2024,AFSC,Gulf of Alaska/Shumagin/Sanak Walleye Pollock Acoustic Trawl Survey_Winter,Gulf of Alaska/Shumagin/Sanak Walleye Pollock Acoustic Trawl Survey_Winter,Cruise: 2024/02/02 ~ 2024/02/14 on Oscar Dyson
,2024,NEFSC,Atlantic Surf Clam & Ocean Quahog Dredge,Surf Clam & Ocean Quahog Dredge Survey,Cruise: 2024/07/01 ~ 2024/08/30 on NA
,2024,NEFSC,Bluefin Tuna Slope Sea Longline Survey,Bluefin Tuna Slope Sea Longline Survey,Cruise: 2024/06/15 ~ 2024/07/15 on NA
,2024,NEFSC,Bottom Trawl Survey_Fall,"Project 1 NEFSC Bottom Trawl Survey Autumn - October/November component

Project 2 NEFSC Autumn Bottom Trawl Survey - September component","Cruise: 2023/10/05 ~ 2023/10/24 on Henry B. Bigelow
Cruise: 2023/10/30 ~ 2023/11/17 on Henry B. Bigelow
Cruise: 2024/09/05 ~ 2024/09/24 on Henry B. Bigelow"
,2024,NEFSC,Bottom Trawl Survey_Spring,NEFSC Spring Bottom Trawl Survey,"Cruise: 2024/03/06 ~ 2024/03/25 on Henry B. Bigelow
Cruise: 2024/04/01 ~ 2024/04/19 on Henry B. Bigelow
Cruise: 2024/04/25 ~ 2024/05/15 on Henry B. Bigelow"
,2024,NEFSC,Coastal Shark Bottom Longline,Coastal Shark Longline Survey,Cruise: 2024/04/05 ~ 2024/06/01 on NA
,2024,NEFSC,Gulf of Maine Seafloor Mapping Project,Gulf of Maine Seafloor Mapping Project,"Cruise: 2024/06/28 ~ 2024/07/01 on Ferdinand R. Hassler
Cruise: 2024/07/10 ~ 2024/07/19 on Ferdinand R. Hassler
Cruise: 2024/07/22 ~ 2024/08/01 on Ferdinand R. Hassler"
,2024,NEFSC,North Atlantic Sea Turtle Survey,North Atlantic Sea Turtle Survey - Turtle Ecology,Cruise: 2024/08/11 ~ 2024/09/06 on NA
,2024,NEFSC,Northeast Ecosystem Monitoring (EcoMon)_Fall,Northeast Ecosystem Monitoring (EcoMon)_Fall,"Cruise: 2023/10/25 ~ 2023/11/13 on PISCES
Cruise: 2023/11/16 ~ 2023/11/23 on PISCES"
,2024,NEFSC,Northeast Ecosystem Monitoring (EcoMon)_Spring,Northeast Ecosystem Monitoring (EcoMon)_Spring,Cruise: 2024/05/25 ~ 2024/06/13 on Henry B. Bigelow
,2024,NEFSC,Northeast Ecosystem Monitoring (EcoMon)_Summer,Northeast Ecosystem Monitoring (EcoMon)_Summer,Cruise: 2024/08/07 ~ 2024/08/22 on Henry B. Bigelow
,2024,NEFSC,Northeast Ecosystem Monitoring (EcoMon)_Winter,Northeast Ecosystem Monitoring (EcoMon)_Winter,Cruise: 2024/02/08 ~ 2024/02/21 on Henry B. Bigelow
,2024,NEFSC,Northeast Sea Scallop_Summer,Integrated Benthic Habitat and Sea Scallop Resource Assessment Survey (Bigelow),"Cruise: 2024/06/21 ~ 2024/07/03 on Henry B. Bigelow
Cruise: 2024/05/01 ~ 2024/07/15 on NA"
,2024,NWFSC,California Current ecosystem hake ecology and survey methods,California Current ecosystem hake ecology and survey methods,"Cruise: 2024/07/06 ~ 2024/07/26 on Bell M. Shimada
Cruise: 2024/08/01 ~ 2024/08/21 on Bell M. Shimada"
,2024,NWFSC,Juvenile Salmon PNW Coastal_Spring,Juvenile Salmon & Ocean Ecosystem Survey,Cruise: 2024/05/17 ~ 2024/09/03 on NA
