No.,Jurisdiction,FMP,Entity Name,Overfishing,Overfished,Approaching Overfished,Rebuilding Program Progress,Points,B/Bmsy
1,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Atlantic sharpnose shark - Atlantic,No,No,No,NA,4,2.078
2,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Atlantic sharpnose shark - Gulf of Mexico,No,No,No,NA,4,
3,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Blacknose shark - Atlantic,Yes,Yes,NA,Year 10 of 30-year plan,1,
4,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Blacktip shark - Atlantic,No,No,No,NA,4,
5,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Blacktip shark - Gulf of Mexico,No,No,No,NA,4,
6,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Finetooth shark - Atlantic and Gulf of Mexico,No,No,No,NA,4,1.3
7,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Great hammerhead - Atlantic and Gulf of Mexico,Unknown,Unknown,Unknown,NA,0,
8,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Lemon shark - Atlantic and Gulf of Mexico,Unknown,Unknown,Unknown,NA,0,
9,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Sandbar shark - Atlantic and Gulf of Mexico,No,Yes,NA,Year 19 of 66-year plan,2,0.774
10,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Scalloped hammerhead - Atlantic and Gulf of Mexico,Yes,Yes,NA,Year 10 of 10-year plan,1,0.45
11,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Smooth dogfish - Atlantic,No,No,No,NA,4,2.286
12,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Smooth hammerhead - Atlantic and Gulf of Mexico,Unknown,Unknown,Unknown,NA,0,
13,CFMC,Puerto Rico Fishery Management Plan,Caribbean spiny lobster - Puerto Rico,No,No,No,NA,4,1.345
14,CFMC,St. Croix Fishery Management Plan,Caribbean spiny lobster - St. Croix,No,No,No,NA,4,1.961
15,CFMC,St. Thomas and St. John Fishery Management Plan,Caribbean spiny lobster - St. Thomas / St. John,No,No,No,NA,4,1.549
