"scientific_name","stock_name","avg_p_score","avg_s_score","score"
"Alopias _ superciliosus","Bigeye thresher - Pacific",1.85714285714286,2.15384615384615,2.00549450549451
"Alopias _ vulpinus","Thresher shark - North Pacific",1.85714285714286,2.30769230769231,2.08241758241758
"Amblyraja _ badia","Gulf of Alaska Skate Complex",1.85714285714286,2,1.92857142857143
"Amblyraja _ radiata","Thorny skate - Gulf of Maine",1.78571428571429,2.53846153846154,2.16208791208791
"Anarhichas _ lupus","Atlantic wolffish - Gulf of Maine / Georges Bank",1.5,2.15384615384615,1.82692307692308
"Anoplopoma _ fimbria","Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska",1.92857142857143,2,1.96428571428571
"Anoplopoma _ fimbria","Sablefish - Pacific Coast",1.92857142857143,2.30769230769231,2.11813186813187
"Aphareus _ rutilans","American Samoa Bottomfish Multi-species Complex",2.14285714285714,1.84615384615385,1.99450549450549
"Aphareus _ rutilans","Guam Bottomfish Multi-species Complex",2.14285714285714,1.84615384615385,1.99450549450549
"Aphareus _ rutilans","Northern Mariana Islands Bottomfish Multi-species Complex",2.14285714285714,1.84615384615385,1.99450549450549
"Aphareus _ rutilans","Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex",1.92857142857143,1.92307692307692,1.92582417582418
"Aprion _ virescens","American Samoa Bottomfish Multi-species Complex",2.71428571428571,1.84615384615385,2.28021978021978
"Aprion _ virescens","Green jobfish - Main Hawaiian Islands",2.71428571428571,1.92307692307692,2.31868131868132
"Arctica _ islandica","Ocean quahog - Atlantic Coast",1.78571428571429,2.38461538461538,2.08516483516484
"Artediellus _ pacificus","Bering Sea / Aleutian Islands Sculpin Complex",2.07142857142857,1.92307692307692,1.99725274725275
"Atheresthes _ evermanni","Kamchatka flounder - Bering Sea / Aleutian Islands",2,2.46153846153846,2.23076923076923
"Atheresthes _ stomias","Arrowtooth flounder - Bering Sea / Aleutian Islands",2,2.38461538461538,2.19230769230769
"Atheresthes _ stomias","Arrowtooth flounder - Gulf of Alaska",2,2.38461538461538,2.19230769230769
"Atheresthes _ stomias","Arrowtooth flounder - Pacific Coast",2,2.38461538461538,2.19230769230769
