Common_name,Functional_group,Attribute_type,Attribute_name,Data_quality,Low,Moderate,High,Very_high,Mean,Component_score,Vulnerability_rank,Region
Acadian Redfish,Groundfish,Exposure,Currents,1,3,11,6,0,2.15,High,Moderate,neva
Acadian Redfish,Groundfish,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,20,0,0,0,1,High,Moderate,neva
Acadian Redfish,Groundfish,Exposure,Mean Precipitation,3,20,0,0,0,1,High,Moderate,neva
Acadian Redfish,Groundfish,Exposure,Mean Sea Surface Salinity,3,18,2,0,0,1.1,High,Moderate,neva
Acadian Redfish,Groundfish,Exposure,Mean Sea Surface Temperature,3,0,0,2,18,3.9,High,Moderate,neva
Acadian Redfish,Groundfish,Exposure,Ocean Acidification,2,0,0,0,20,4,High,Moderate,neva
Acadian Redfish,Groundfish,Exposure,Sea Level Rise,1.5,18,2,0,0,1.1,High,Moderate,neva
Acadian Redfish,Groundfish,Exposure,Variability in Air Temperature,3,20,0,0,0,1,High,Moderate,neva
Acadian Redfish,Groundfish,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,High,Moderate,neva
Acadian Redfish,Groundfish,Exposure,Variability in Precipitation,3,20,0,0,0,1,High,Moderate,neva
Acadian Redfish,Groundfish,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,High,Moderate,neva
Acadian Redfish,Groundfish,Exposure,Variability in Sea Surface Temperature,3,20,0,0,0,1,High,Moderate,neva
Acadian Redfish,Groundfish,Sensitivity,Adult Mobility,2,0,5,19,1,2.84,Moderate,Moderate,neva
Acadian Redfish,Groundfish,Sensitivity,Complexity in Reproductive Strategy,1.2,11,8,3,3,1.92,Moderate,Moderate,neva
Acadian Redfish,Groundfish,Sensitivity,Dispersal of Early Life Stages,2.8,7,16,2,0,1.8,Moderate,Moderate,neva
Acadian Redfish,Groundfish,Sensitivity,Early Life History Survival and Settlement Requirements,2,6,9,9,1,2.2,Moderate,Moderate,neva
Acadian Redfish,Groundfish,Sensitivity,Habitat Specificity,3,12,13,0,0,1.52,Moderate,Moderate,neva
Acadian Redfish,Groundfish,Sensitivity,Other Stressors,2.2,6,15,4,0,1.92,Moderate,Moderate,neva
