"Q1","Q2","Q3","Q4"
"Aphareus _ rutilans","Aphareus _ rutilans","Alopias _ superciliosus","Atheresthes _ evermanni"
"Clidoderma _ asperrimum","Aphareus _ rutilans","Alopias _ vulpinus","Atheresthes _ stomias"
"Clupea _ harengus","Aphareus _ rutilans","Amblyraja _ badia","Atheresthes _ stomias"
"Dasycottus _ setiger","Aprion _ virescens","Amblyraja _ radiata","Atheresthes _ stomias"
"Embassichthys _ bathybius","Aprion _ virescens","Anarhichas _ lupus","Balistes _ capriscus"
"Eopsetta _ jordani","Artediellus _ pacificus","Anoplopoma _ fimbria","Bathyraja _ parmifera"
"Epinephelus _ itajara","Balistes _ capriscus","Anoplopoma _ fimbria","Bathyraja _ parmifera"
"Epinephelus _ itajara","Blepsias _ bilobus","Arctica _ islandica","Bathyraja _ parmifera"
"Etelis _ carbunculus","Brevoortia _ tyrannus","Bathyraja _ aleutica","Caranx _ lugubris"
"Etelis _ carbunculus","Calotomus _ carolinus","Bathyraja _ aleutica","Caranx _ lugubris"
"Etelis _ carbunculus","Carangoides _ orthogrammus","Bathyraja _ interrupta","Caranx _ lugubris"
"Etelis _ carbunculus","Caranx _ ignobilis","Bathyraja _ interrupta","Carcharhinus _ acronotus"
"Etelis _ coruscans","Caranx _ ignobilis","Bathyraja _ maculata","Carcharhinus _ acronotus"
"Etelis _ coruscans","Caranx _ ignobilis","Bathyraja _ taranetzi","Carcharhinus _ acronotus"
"Etelis _ coruscans","Caranx _ melampygus","Coryphaenoides _ acrolepis","Carcharhinus _ falciformis"
"Etelis _ coruscans","Chaceon _ quinquedens","Dipturus _ laevis","Carcharhinus _ isodon"
"Etelis _ oculatus","Chlorurus _ microrhinos","Eopsetta _ jordani","Carcharhinus _ isodon"
"Gadus _ chalcogrammus","Chlorurus _ perspicillatus","Gadus _ chalcogrammus","Carcharhinus _ limbatus"
"Gadus _ chalcogrammus","Chlorurus _ sordidus","Gadus _ chalcogrammus","Carcharhinus _ limbatus"
"Gadus _ macrocephalus","Citharichthys _ sordidus","Gadus _ chalcogrammus","Carcharhinus _ longimanus"
"Glyptocephalus _ cynoglossus","Citharichthys _ sordidus","Gadus _ macrocephalus","Carcharhinus _ obscurus"
"Glyptocephalus _ zachirus","Engraulis _ mordax","Gadus _ macrocephalus","Carcharhinus _ plumbeus"
"Glyptocephalus _ zachirus","Enophrys _ diceraus","Glyptocephalus _ zachirus","Caulolatilus _ microps"
"Glyptocephalus _ zachirus","Enteroctopus _ dofleini","Hippoglossoides _ platessoides","Caulolatilus _ microps"
"Glyptocephalus _ zachirus","Farfantepenaeus _ aztecus","Hippoglossus _ hippoglossus","Centropristis _ striata"
"Gymnocanthus _ detrisus","Farfantepenaeus _ duorarum","Isurus _ oxyrinchus","Centropristis _ striata"
"Gymnocanthus _ galeatus","Gadus _ morhua","Isurus _ oxyrinchus","Chionoecetes _ bairdi"
"Hyporthodus _ niveatus","Gadus _ morhua","Leucoraja _ erinacea","Chionoecetes _ opilio"
"Lamna _ ditropis","Gadus _ morhua","Leucoraja _ garmani","Enteroctopus _ dofleini"
"Lamna _ ditropis","Gymnocanthus _ tricuspis","Leucoraja _ ocellata","Epinephelus _ guttatus"
"Lepidopsetta _ bilineata","Hemilepidotus _ hemilepidotus","Limanda _ ferruginea","Epinephelus _ morio"
"Lepidopsetta _ bilineata","Hemilepidotus _ jordani","Limanda _ ferruginea","Epinephelus _ morio"
"Lepidopsetta _ bilineata","Hemilepidotus _ jordani","Lopholatilus _ chamaeleonticeps","Farfantepenaeus _ aztecus"
"Lepidopsetta _ bilineata","Hemilepidotus _ papilio","Lopholatilus _ chamaeleonticeps","Farfantepenaeus _ duorarum"
"Lethrinus _ olivaceus","Hemitripterus _ bolini","Lopholatilus _ chamaeleonticeps","Hippoglossoides _ elassodon"
"Lethrinus _ xanthochilus","Hemitripterus _ bolini","Malacoraja _ senta","Hippoglossus _ stenolepis"
"Limanda _ ferruginea","Hexagrammos _ decagrammus","Microstomus _ pacificus","Hyporthodus _ flavolimbatus"
"Liopsetta _ glacialis","Hippoglossoides _ elassodon","Mustelus _ canis","Hyporthodus _ quernus"
"Lutjanus _ vivanus","Hipposcarus _ longiceps","Mycteroperca _ microlepis","Illex _ illecebrosus"
"Lyopsetta _ exilis","Icelus _ spatula","Mycteroperca _ microlepis","Istiophorus _ platypterus"
"Malacocottus _ kincaidi","Icelus _ spiniger","Mycteroperca _ phenax","Kajikia _ audax"
"Malacocottus _ zonurus","Isopsetta _ isolepis","Pleurogrammus _ monopterygius","Lachnolaimus _ maximus"
"Merluccius _ productus","Isopsetta _ isolepis","Pleurogrammus _ monopterygius","Lachnolaimus _ maximus"
"Microstomus _ pacificus","Kajikia _ albida","Pleuronectes _ quadrituberculatus","Lachnolaimus _ maximus"
"Microstomus _ pacificus","Kajikia _ audax","Polyprion _ americanus","Lamna _ nasus"
