"Q1","Q2","Q3","Q4"
"Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex","American Samoa Bottomfish Multi-species Complex","Bigeye thresher - Pacific","Kamchatka flounder - Bering Sea / Aleutian Islands"
"Bering Sea / Aleutian Islands Other Flatfish Complex","Guam Bottomfish Multi-species Complex","Thresher shark - North Pacific","Arrowtooth flounder - Bering Sea / Aleutian Islands"
"Atlantic herring - Northwestern Atlantic Coast","Northern Mariana Islands Bottomfish Multi-species Complex","Gulf of Alaska Skate Complex","Arrowtooth flounder - Gulf of Alaska"
"Bering Sea / Aleutian Islands Sculpin Complex","American Samoa Bottomfish Multi-species Complex","Thorny skate - Gulf of Maine","Arrowtooth flounder - Pacific Coast"
"Bering Sea / Aleutian Islands Other Flatfish Complex","Green jobfish - Main Hawaiian Islands","Atlantic wolffish - Gulf of Maine / Georges Bank","Gray triggerfish - Gulf of Mexico"
"Bering Sea / Aleutian Islands Other Flatfish Complex","Bering Sea / Aleutian Islands Sculpin Complex","Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","Alaska skate - Bering Sea / Aleutian Islands"
"Goliath grouper - Gulf of Mexico","Gray triggerfish - Southern Atlantic Coast","Sablefish - Pacific Coast","Bering Sea / Aleutian Islands Skate Complex"
"Goliath grouper - Southern Atlantic Coast / Gulf of Mexico","Bering Sea / Aleutian Islands Sculpin Complex","Ocean quahog - Atlantic Coast","Gulf of Alaska Skate Complex"
"American Samoa Bottomfish Multi-species Complex","Atlantic menhaden - Atlantic Coast","Bering Sea / Aleutian Islands Skate Complex","American Samoa Bottomfish Multi-species Complex"
"Guam Bottomfish Multi-species Complex","Stareye parrotfish - Main Hawaiian Islands","Gulf of Alaska Skate Complex","Guam Bottomfish Multi-species Complex"
"Northern Mariana Islands Bottomfish Multi-species Complex","Island jack - Guam","Bering Sea / Aleutian Islands Skate Complex","Northern Mariana Islands Bottomfish Multi-species Complex"
"Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex","Giant trevally - Main Hawaiian Islands","Gulf of Alaska Skate Complex","Atlantic Small Coastal Shark Complex"
"American Samoa Bottomfish Multi-species Complex","Guam Bottomfish Multi-species Complex","Bering Sea / Aleutian Islands Skate Complex","Blacknose shark - Atlantic"
"Guam Bottomfish Multi-species Complex","Northern Mariana Islands Bottomfish Multi-species Complex","Bering Sea / Aleutian Islands Skate Complex","Blacknose shark - Gulf of Mexico"
"Northern Mariana Islands Bottomfish Multi-species Complex","Bluefin trevally - Guam","Pacific grenadier - Pacific Coast","Silky shark - Western and Central Pacific"
"Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex","Red deepsea crab - Northwestern Atlantic","Barndoor skate - Georges Bank / Southern New England","Atlantic Small Coastal Shark Complex"
"Queen snapper - Caribbean","Steephead parrotfish - Guam","Petrale sole - Pacific Coast","Finetooth shark - Atlantic and Gulf of Mexico"
"Walleye pollock - Southeast Gulf of Alaska","Spectacled parrotfish - Main Hawaiian Islands","Walleye pollock - Aleutian Islands","Blacktip shark - Atlantic"
"Walleye pollock - Western / Central / West Yakutat Gulf of Alaska","Bullethead parrotfish - Main Hawaiian Islands","Walleye pollock - Bogoslof","Blacktip shark - Gulf of Mexico"
"Pacific cod - Aleutian Islands","Bering Sea / Aleutian Islands Other Flatfish Complex","Walleye pollock - Eastern Bering Sea","Oceanic whitetip shark - Western and Central Pacific"
"Witch flounder - Northwestern Atlantic Coast","Pacific sanddab - Pacific Coast","Pacific cod - Bering Sea","Dusky shark - Atlantic and Gulf of Mexico"
