Stock,Last_assessment,Model_category,Target_frequency,Catch_level,Catch_target,Catch_gap,Abundance_level,Abundance_target,Abundance_gap,LH_level,LH_target,LH_gap,Comp_level,Comp_target,Comp_gap,Eco_level,Eco_target,Eco_gap
Atlantic herring - Northwestern Atlantic Coast,2020,6,1,5,5,0,4,4,0,3,5,2,4,5,1,2,2,0
Atlantic salmon - Gulf of Maine,2020,2,1,5,5,0,5,5,0,4,4,0,5,5,0,0,2,2
Sea scallop - Northwestern Atlantic Coast,2020,5,2,5,5,0,4,5,1,4,4,0,4,4,0,2,2,0
Atlantic surfclam - Mid-Atlantic Coast,2020,6,4,5,5,0,4,4,0,5,5,0,4,4,0,2,2,0
Ocean quahog - Atlantic Coast,2020,6,10,5,5,0,4,4,0,4,5,1,4,5,1,2,2,0
Bluefish - Atlantic Coast,2021,6,1,5,5,0,4,4,0,3,4,1,4,4,0,0,2,2
Red deepsea crab - Northwestern Atlantic,2006,2,5,4,5,1,2,4,2,2,2,0,4,4,0,0,2,2
Atlantic chub mackerel - Mid-Atlantic Coast,NA,NA,5,2,5,3,2,2,0,2,4,2,1,4,3,1,2,1
Atlantic mackerel - Gulf of Maine / Cape Hatteras,2021,6,3,4,5,1,4,4,0,4,5,1,4,4,0,2,3,1
Butterfish - Gulf of Maine / Cape Hatteras,2020,6,2,4,5,1,4,4,0,4,4,0,4,4,0,3,3,0
Longfin inshore squid - Georges Bank / Cape Hatteras,2020,2,1,5,5,0,4,4,0,2,5,3,2,5,3,0,2,2
Northern shortfin squid - Northwestern Atlantic Coast,2005,2,1,4,5,1,3,4,1,2,2,0,2,2,0,0,1,1
Goosefish - Gulf of Maine / Northern Georges Bank,2019,2,3,5,5,0,3,4,1,2,2,0,2,2,0,0,2,2
Goosefish - Southern Georges Bank / Mid-Atlantic,2019,2,4,5,5,0,3,4,1,2,2,0,2,2,0,0,2,2
Acadian redfish - Gulf of Maine / Georges Bank,2020,6,10,4,5,1,4,4,0,4,4,0,4,4,0,2,2,0
American plaice - Gulf of Maine / Georges Bank,2019,4,3,4,5,1,4,5,1,3,4,1,4,4,0,0,2,2
Atlantic cod - Georges Bank,2021,2,1,4,5,1,4,5,1,3,5,2,4,5,1,0,4,4
Atlantic cod - Gulf of Maine,2021,6,1,4,5,1,4,5,1,3,5,2,4,5,1,2,4,2
Atlantic halibut - Northwestern Atlantic Coast,2020,1,3,2,5,3,3,5,2,2,5,3,2,5,3,0,2,2
Atlantic wolffish - Gulf of Maine / Georges Bank,2020,5,2,5,5,0,3,4,1,3,4,1,4,4,0,2,2,0
Haddock - Georges Bank,2019,4,4,5,5,0,4,5,1,3,4,1,4,5,1,0,2,2
Haddock - Gulf of Maine,2019,6,4,4,5,1,4,5,1,3,4,1,4,5,1,2,2,0
Ocean pout - Northwestern Atlantic Coast,2020,2,3,5,5,0,3,4,1,2,4,2,2,4,2,0,2,2
Offshore hake - Northwestern Atlantic Coast,2011,2,4,5,5,0,3,4,1,2,4,2,2,4,2,0,2,2
Pollock - Gulf of Maine / Georges Bank,2019,6,5,4,5,1,4,4,0,3,3,0,4,4,0,2,2,0
