"scientific_name","ComName","Last_assessment","avg_model_category","Catch_gap","Abundance_gap","LH_gap","Comp_gap","Eco_gap","Region","Functional_group","Repro_strat","Hab_spec","Prey_spec","Exposure","Sensitivity"
"Clupea _ harengus","Atlantic herring",2020,6,0,0,2,1,0,NA,NA,NA,NA,NA,NA,NA
"Pomatomus _ saltatrix","Bluefish",2021,6,0,0,1,0,2,"gulf","Pelagics",1.64,1.6,1.44,4,1.64
"Pomatomus _ saltatrix","Bluefish",2021,6,0,0,1,0,2,"neva","Pelagics",1.72,1.88,1.08,4,2.16
"Pomatomus _ saltatrix","Bluefish",2021,6,0,0,1,0,2,"sava","Coastal Pelagic",2.4,1.7,1.8,4,2.4
"Pomatomus _ saltatrix","Bluefish",2021,6,0,0,1,0,2,"gulf","Pelagics",1.64,1.6,1.44,4,1.64
"Pomatomus _ saltatrix","Bluefish",2021,6,0,0,1,0,2,"neva","Pelagics",1.72,1.88,1.08,4,2.16
"Pomatomus _ saltatrix","Bluefish",2021,6,0,0,1,0,2,"sava","Coastal Pelagic",2.4,1.7,1.8,4,2.4
"Pomatomus _ saltatrix","Bluefish",2021,6,0,0,1,0,2,"gulf","Pelagics",1.64,1.6,1.44,4,1.64
"Pomatomus _ saltatrix","Bluefish",2021,6,0,0,1,0,2,"neva","Pelagics",1.72,1.88,1.08,4,2.16
"Pomatomus _ saltatrix","Bluefish",2021,6,0,0,1,0,2,"sava","Coastal Pelagic",2.4,1.7,1.8,4,2.4
"Anoplopoma _ fimbria","Bluefish",2021,6,0,0,1,0,2,"gulf","Pelagics",1.64,1.6,1.44,4,1.64
"Anoplopoma _ fimbria","Bluefish",2021,6,0,0,1,0,2,"neva","Pelagics",1.72,1.88,1.08,4,2.16
"Anoplopoma _ fimbria","Bluefish",2021,6,0,0,1,0,2,"sava","Coastal Pelagic",2.4,1.7,1.8,4,2.4
"Anoplopoma _ fimbria","Bluefish",2021,6,0,0,1,0,2,"gulf","Pelagics",1.64,1.6,1.44,4,1.64
"Anoplopoma _ fimbria","Bluefish",2021,6,0,0,1,0,2,"neva","Pelagics",1.72,1.88,1.08,4,2.16
"Anoplopoma _ fimbria","Bluefish",2021,6,0,0,1,0,2,"sava","Coastal Pelagic",2.4,1.7,1.8,4,2.4
"Anoplopoma _ fimbria","Bluefish",2021,6,0,0,1,0,2,"gulf","Pelagics",1.64,1.6,1.44,4,1.64
"Anoplopoma _ fimbria","Bluefish",2021,6,0,0,1,0,2,"neva","Pelagics",1.72,1.88,1.08,4,2.16
"Anoplopoma _ fimbria","Bluefish",2021,6,0,0,1,0,2,"sava","Coastal Pelagic",2.4,1.7,1.8,4,2.4
"Thymallus _ arcticus","Bluefish",2021,6,0,0,1,0,2,"gulf","Pelagics",1.64,1.6,1.44,4,1.64
"Thymallus _ arcticus","Bluefish",2021,6,0,0,1,0,2,"neva","Pelagics",1.72,1.88,1.08,4,2.16
"Thymallus _ arcticus","Bluefish",2021,6,0,0,1,0,2,"sava","Coastal Pelagic",2.4,1.7,1.8,4,2.4
"Thymallus _ arcticus","Bluefish",2021,6,0,0,1,0,2,"gulf","Pelagics",1.64,1.6,1.44,4,1.64
"Thymallus _ arcticus","Bluefish",2021,6,0,0,1,0,2,"neva","Pelagics",1.72,1.88,1.08,4,2.16
"Thymallus _ arcticus","Bluefish",2021,6,0,0,1,0,2,"sava","Coastal Pelagic",2.4,1.7,1.8,4,2.4
"Thymallus _ arcticus","Bluefish",2021,6,0,0,1,0,2,"gulf","Pelagics",1.64,1.6,1.44,4,1.64
"Thymallus _ arcticus","Bluefish",2021,6,0,0,1,0,2,"neva","Pelagics",1.72,1.88,1.08,4,2.16
"Thymallus _ arcticus","Bluefish",2021,6,0,0,1,0,2,"sava","Coastal Pelagic",2.4,1.7,1.8,4,2.4
"Kyphosus _ vaigiensis","Bluefish",2021,6,0,0,1,0,2,"gulf","Pelagics",1.64,1.6,1.44,4,1.64
"Kyphosus _ vaigiensis","Bluefish",2021,6,0,0,1,0,2,"neva","Pelagics",1.72,1.88,1.08,4,2.16
"Kyphosus _ vaigiensis","Bluefish",2021,6,0,0,1,0,2,"sava","Coastal Pelagic",2.4,1.7,1.8,4,2.4
"Kyphosus _ vaigiensis","Bluefish",2021,6,0,0,1,0,2,"gulf","Pelagics",1.64,1.6,1.44,4,1.64
"Kyphosus _ vaigiensis","Bluefish",2021,6,0,0,1,0,2,"neva","Pelagics",1.72,1.88,1.08,4,2.16
"Kyphosus _ vaigiensis","Bluefish",2021,6,0,0,1,0,2,"sava","Coastal Pelagic",2.4,1.7,1.8,4,2.4
"Kyphosus _ vaigiensis","Bluefish",2021,6,0,0,1,0,2,"gulf","Pelagics",1.64,1.6,1.44,4,1.64
"Kyphosus _ vaigiensis","Bluefish",2021,6,0,0,1,0,2,"neva","Pelagics",1.72,1.88,1.08,4,2.16
"Kyphosus _ vaigiensis","Bluefish",2021,6,0,0,1,0,2,"sava","Coastal Pelagic",2.4,1.7,1.8,4,2.4
"Girella _ cyanea","Bluefish",2021,6,0,0,1,0,2,"gulf","Pelagics",1.64,1.6,1.44,4,1.64
"Girella _ cyanea","Bluefish",2021,6,0,0,1,0,2,"neva","Pelagics",1.72,1.88,1.08,4,2.16
"Girella _ cyanea","Bluefish",2021,6,0,0,1,0,2,"sava","Coastal Pelagic",2.4,1.7,1.8,4,2.4
"Girella _ cyanea","Bluefish",2021,6,0,0,1,0,2,"gulf","Pelagics",1.64,1.6,1.44,4,1.64
"Girella _ cyanea","Bluefish",2021,6,0,0,1,0,2,"neva","Pelagics",1.72,1.88,1.08,4,2.16
"Girella _ cyanea","Bluefish",2021,6,0,0,1,0,2,"sava","Coastal Pelagic",2.4,1.7,1.8,4,2.4
"Girella _ cyanea","Bluefish",2021,6,0,0,1,0,2,"gulf","Pelagics",1.64,1.6,1.44,4,1.64
"Girella _ cyanea","Bluefish",2021,6,0,0,1,0,2,"neva","Pelagics",1.72,1.88,1.08,4,2.16
"Girella _ cyanea","Bluefish",2021,6,0,0,1,0,2,"sava","Coastal Pelagic",2.4,1.7,1.8,4,2.4
"Gadus _ morhua","Atlantic cod",2021,2,1,1,2,1,4,NA,NA,NA,NA,NA,NA,NA
"Hippoglossus _ hippoglossus","Atlantic halibut",2020,1,3,2,3,3,2,NA,NA,NA,NA,NA,NA,NA
"Merluccius _ australis","Haddock",2019,4,0,1,1,1,2,"neva","Groundfish",1.92,1.96,1.36,4,2.36
"Melanogrammus _ aeglefinus","Haddock",2019,4,0,1,1,1,2,"neva","Groundfish",1.92,1.96,1.36,4,2.36
"Seriolella _ brama","Haddock",2019,4,0,1,1,1,2,"neva","Groundfish",1.92,1.96,1.36,4,2.36
"Zoarces _ americanus","Ocean pout",2020,2,0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA
"Merluccius _ albidus","Offshore hake",2011,2,0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA
"Pseudopleuronectes _ americanus","Winter flounder",2020,4,1,1,2,1,4,NA,NA,NA,NA,NA,NA,NA
"Glyptocephalus _ cynoglossus","Witch flounder",2019,2,0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA
"Limanda _ ferruginea","Yellowtail flounder",2021,2,1,1,0,0,2,NA,NA,NA,NA,NA,NA,NA
"Squalus _ suckleyi","Pacific spiny dogfish",2021,6,2,0,1,0,2,NA,NA,NA,NA,NA,NA,NA
"Squalus _ acanthias","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ acanthias","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
"Squalus _ acanthias","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ acanthias","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
"Squalus _ acanthias","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ acanthias","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
"Squalus _ megalops","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ megalops","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
"Squalus _ megalops","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ megalops","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
"Squalus _ megalops","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ megalops","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
