"scientific_name","common_name","stock_name","stock_area","overfishing","overfished","assessment_level","last_assessment","catch_gap","abundance_gap","LH_gap","comp_gap","eco_gap","Complexity.in.Reproductive.Strategy","Habitat.Specificity","Prey.Specificity","Exposure","Sensitivity","tmax","tm","rho","Fmsy_over_M","MASPS","margsd","Loo","K","M","r","status","tmax2","margsd2","rho2","Fmsy_over_M2","status2","avg_p_score","avg_s_score","score"
"Alopias _ superciliosus","Bigeye thresher","Bigeye thresher - Pacific","Pacific","Unknown","Unknown",1,2,0,3,3,3,3,2,2,2,2,2,2,1,2,3,1,3,3,1,1,1,2,2,3,2,3,2,1.85714285714286,2.15384615384615,2.00549450549451
"Alopias _ vulpinus","Thresher shark","Thresher shark - North Pacific","North Pacific","Unknown","Unknown",2,2,1,3,3,3,3,2,2,2,2,2,2,1,2,3,1,3,3,1,1,1,2,2,3,2,3,2,1.85714285714286,2.30769230769231,2.08241758241758
"Amblyraja _ badia","Roughshoulder skate","Gulf of Alaska Skate Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,2,1,2,1,2,2,3,2,2,2,1.85714285714286,2,1.92857142857143
"Amblyraja _ radiata","Thorny skate","Thorny skate - Gulf of Maine","Gulf of Maine","Unknown","Unknown",2,3,3,3,3,3,2,2,2,2,2,2,2,1,3,2,1,3,2,1,1,1,2,2,3,3,2,2,1.78571428571429,2.53846153846154,2.16208791208791
"Anarhichas _ lupus","Atlantic wolffish","Atlantic wolffish - Gulf of Maine / Georges Bank","Gulf of Maine / Georges Bank","Unknown","Unknown",2,3,0,3,3,3,3,2,2,2,2,2,1,1,2,1,1,2,2,1,1,1,2,1,2,2,1,2,1.5,2.15384615384615,1.82692307692308
"Anoplopoma _ fimbria","Sablefish","Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","Unknown","Unknown",2,3,0,3,3,3,2,3,3,3,1,3,2,1,1,3,1,1,2,2,2,1,2,2,1,1,3,2,1.92857142857143,2,1.96428571428571
"Anoplopoma _ fimbria","Sablefish","Sablefish - Pacific Coast","Pacific Coast","No","No",2,3,1,3,3,3,3,3,3,3,1,3,2,1,1,3,1,1,2,2,2,1,3,2,1,1,3,3,1.92857142857143,2.30769230769231,2.11813186813187
"Aphareus _ rutilans","Rusty jobfish","American Samoa Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,3,2,3,1,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2.14285714285714,1.84615384615385,1.99450549450549
"Aphareus _ rutilans","Rusty jobfish","Guam Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,3,2,3,1,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2.14285714285714,1.84615384615385,1.99450549450549
"Aphareus _ rutilans","Rusty jobfish","Northern Mariana Islands Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,3,2,3,1,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2.14285714285714,1.84615384615385,1.99450549450549
"Aphareus _ rutilans","Silverjaw snapper","Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1.92857142857143,1.92307692307692,1.92582417582418
"Aprion _ virescens","Green jobfish","American Samoa Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,3,3,2,1,3,3,2,2,1,3,3,2,2,3,3,2,3,3,2,1,2,2.71428571428571,1.84615384615385,2.28021978021978
"Aprion _ virescens","Green jobfish","Green jobfish - Main Hawaiian Islands","Main Hawaiian Islands","No","No",1,3,2,1,1,2,3,3,3,2,1,3,3,2,2,1,3,3,2,2,3,3,3,3,3,2,1,3,2.71428571428571,1.92307692307692,2.31868131868132
"Arctica _ islandica","Ocean quahog","Ocean quahog - Atlantic Coast","Atlantic Coast","No","No",2,3,0,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,3,2,2,2,2,3,1.78571428571429,2.38461538461538,2.08516483516484
"Artediellus _ pacificus","Hookhorn sculpin","Bering Sea / Aleutian Islands Sculpin Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,2,2,3,2,2,2,2,1,2,2.07142857142857,1.92307692307692,1.99725274725275
"Atheresthes _ evermanni","Kamchatka flounder","Kamchatka flounder - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","No","No",2,3,1,3,3,3,3,3,3,3,1,2,2,1,3,1,2,2,2,1,1,2,3,2,2,3,1,3,2,2.46153846153846,2.23076923076923
"Atheresthes _ stomias","Arrowtooth flounder","Arrowtooth flounder - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","No","No",2,3,0,3,3,3,3,3,3,3,1,2,2,1,3,1,2,2,2,1,1,2,3,2,2,3,1,3,2,2.38461538461538,2.19230769230769
"Atheresthes _ stomias","Arrowtooth flounder","Arrowtooth flounder - Gulf of Alaska","Gulf of Alaska","No","No",2,3,0,3,3,3,3,3,3,3,1,2,2,1,3,1,2,2,2,1,1,2,3,2,2,3,1,3,2,2.38461538461538,2.19230769230769
"Atheresthes _ stomias","Arrowtooth flounder","Arrowtooth flounder - Pacific Coast","Pacific Coast","No","No",2,3,0,3,3,3,3,3,3,3,1,2,2,1,3,1,2,2,2,1,1,2,3,2,2,3,1,3,2,2.38461538461538,2.19230769230769
"Balistes _ capriscus","Gray triggerfish","Gray triggerfish - Gulf of Mexico","Gulf of Mexico","Unknown","Unknown",2,3,0,3,3,3,3,2,2,3,1,2,3,3,3,1,3,2,1,3,3,3,2,3,2,3,1,2,2.5,2.23076923076923,2.36538461538462
"Balistes _ capriscus","Gray triggerfish","Gray triggerfish - Southern Atlantic Coast","Southern Atlantic Coast","Unknown","Unknown",2,2,1,3,1,1,2,2,2,3,1,2,3,3,3,1,3,2,1,3,3,3,2,3,2,3,1,2,2.5,1.84615384615385,2.17307692307692
"Bathyraja _ aleutica","Aleutian skate","Bering Sea / Aleutian Islands Skate Complex","","Unknown","Unknown",1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,3,2,1,1,1,2,2,3,3,2,2,1.78571428571429,2.07692307692308,1.93131868131868
"Bathyraja _ aleutica","Aleutian skate","Gulf of Alaska Skate Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,3,2,1,1,1,2,2,3,3,2,2,1.78571428571429,2.15384615384615,1.96978021978022
"Bathyraja _ interrupta","Bering skate","Bering Sea / Aleutian Islands Skate Complex","","Unknown","Unknown",1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,3,1,2,2,2,2,2,3,3,2,2,1.92857142857143,2.07692307692308,2.00274725274725
"Bathyraja _ interrupta","Bering skate","Gulf of Alaska Skate Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,3,1,2,2,2,2,2,3,3,2,2,1.92857142857143,2.15384615384615,2.04120879120879
"Bathyraja _ maculata","Whiteblotched skate","Bering Sea / Aleutian Islands Skate Complex","","Unknown","Unknown",1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,3,2,1,1,1,2,2,3,3,2,2,1.78571428571429,2.07692307692308,1.93131868131868
"Bathyraja _ parmifera","Alaska skate","Alaska skate - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","Unknown","Unknown",2,2,2,2,2,2,2,2,3,3,1,3,2,1,3,2,1,3,2,1,1,1,2,2,3,3,2,2,2,2.07692307692308,2.03846153846154
"Bathyraja _ parmifera","Alaska skate","Bering Sea / Aleutian Islands Skate Complex","","Unknown","Unknown",1,2,2,2,2,2,2,2,3,3,1,3,2,1,3,2,1,3,2,1,1,1,2,2,3,3,2,2,2,2,2
"Bathyraja _ parmifera","Alaska skate","Gulf of Alaska Skate Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,3,3,1,3,2,1,3,2,1,3,2,1,1,1,2,2,3,3,2,2,2,2.07692307692308,2.03846153846154
"Bathyraja _ taranetzi","Mud skate","Bering Sea / Aleutian Islands Skate Complex","","Unknown","Unknown",1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,3,2,1,1,1,2,2,3,3,2,2,1.78571428571429,2.07692307692308,1.93131868131868
"Blepsias _ bilobus","Crested sculpin","Bering Sea / Aleutian Islands Sculpin Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,3,2,1,3,3,3,2,3,2,1,1,2,2.35714285714286,1.76923076923077,2.06318681318681
"Brevoortia _ tyrannus","Atlantic menhaden","Atlantic menhaden - Atlantic Coast","Atlantic Coast","Unknown","Unknown",2,2,2,2,2,2,2,2,3,3,1,3,2,2,2,1,3,1,1,3,3,3,2,2,1,2,1,2,2.28571428571429,1.84615384615385,2.06593406593407
"Calotomus _ carolinus","Stareye parrotfish","Stareye parrotfish - Main Hawaiian Islands","Main Hawaiian Islands","Unknown","Unknown",1,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,1,3,3,3,2,3,1,1,1,2,2.21428571428571,1.69230769230769,1.9532967032967
