scientific_name,common_name
Zoarces americanus,
Xiphias gladius,Broadbill
Xiphias gladius,Broadbill
Xiphias gladius,Broadbill
Urophycis tenuis,Mud hake
Urophycis chuss,Squirrel hake
Urophycis chuss,Squirrel hake
Thunnus thynnus,"Atlantic bluefin tuna, Horse mackerel, Northern bluefin tuna"
Thunnus orientalis,
Thunnus obesus,
Thunnus obesus,
Thunnus obesus,
Thunnus albacares,
Thunnus albacares,
Thunnus albacares,
Thunnus alalunga,"Albacore tuna, Longfinned albacore"
Thunnus alalunga,"Albacore tuna, Longfinned albacore"
Thunnus alalunga,"Albacore tuna, Longfinned albacore"
Stenotomus chrysops,Porgy
Squalus suckleyi,"North Pacific spiny dogfish, spiny dogfish, spotted spiny dogfish"
Squalus acanthias,"Dogfish, Grayfish, Piked dogfish, Spurdog"
Squalus acanthias,"Dogfish, Grayfish, Piked dogfish, Spurdog"
Spisula solidissima,
Sphyrna lewini,Scalloped hammerhead shark
Sparisoma chrysopterum,
Sicyonia brevirostris,"Hardback shrimp, Rock shrimp"
Seriola dumerili,"AMBERJACK, KAHALA, MALAULI, MESEYUGH, TARAKITON TADONG"
Seriola dumerili,"AMBERJACK, KAHALA, MALAULI, MESEYUGH, TARAKITON TADONG"
Sebastolobus altivelis,
Sebastolobus alascanus,
Sebastolobus alascanus,
Sebastes zacentrus,
Sebastes variabilis,Light dusky rockfish
Sebastes saxicola,
Sebastes rufus,
Sebastes ruberrimus,Rasphead rockfish
Sebastes ruberrimus,Rasphead rockfish
Sebastes polyspinis,
Sebastes polyspinis,
Sebastes pinniger,
Sebastes paucispinis,
Sebastes nebulosus,
Sebastes nebulosus,
Sebastes nebulosus,
Sebastes mystinus,
Sebastes miniatus,
Sebastes miniatus,
Sebastes melanostomus,
Sebastes melanops,
Sebastes melanops,
Sebastes melanops,
Sebastes melanops,
Sebastes melanops,
Sebastes maliger,
Sebastes maliger,
Sebastes maliger,
Sebastes levis,
Sebastes jordani,
Sebastes hopkinsi,
Sebastes goodei,
Sebastes flavidus,
Sebastes flavidus,
Sebastes fasciatus,"Acadian rockfish, Labrador redfish"
Sebastes entomelas,
Sebastes elongatus,
Sebastes diploproa,
Sebastes crameri,
Sebastes chlorostictus,
Sebastes caurinus,
Sebastes caurinus,
Sebastes caurinus,
Sebastes caurinus,
Sebastes borealis,
Sebastes borealis,
Sebastes aurora,
Sebastes auriculatus,
Sebastes alutus,
Sebastes alutus,
Sebastes alutus,
Sebastes aleutianus,
Sebastes aleutianus,
Scorpaenichthys marmoratus,Giant marbled sculpin
Scorpaenichthys marmoratus,Giant marbled sculpin
Scorpaenichthys marmoratus,Giant marbled sculpin
Scorpaenichthys marmoratus,Giant marbled sculpin
Scorpaenichthys marmoratus,Giant marbled sculpin
Scorpaena guttata,Finescaled scorpionfish
Scophthalmus aquosus,"Brill, Sand dab, Spotted flounder, Windowpane flounder"
Scophthalmus aquosus,"Brill, Sand dab, Spotted flounder, Windowpane flounder"
Scomberomorus maculatus,Atlantic Spanish mackerel
Scomberomorus maculatus,Atlantic Spanish mackerel
Scomberomorus cavalla,
Scomberomorus cavalla,
Scomber scombrus,
