"survey","p_score","s_score","n","spp_number","score"
"Alaska Department of Fish and Game Large-mesh Trawl Survey of Gulf of Alaska and Eastern Aleutian Islands_Summer",1.85714285714286,1.92307692307692,1,"1",1.89010989010989
"Aleutian Island Groundfish Bottom Trawl",1.94379391100703,1.93316519546028,61,"3+",1.93847955323365
"Aleutian Islands Cooperative Acoustic Survey Studies",1.85714285714286,2,1,"1",1.92857142857143
"Atlantic Herring Acoustic Survey",1.71428571428571,1.76923076923077,1,"1",1.74175824175824
"Atlantic Surf Clam & Ocean Quahog Dredge",1.89285714285714,2.38461538461538,2,"2",2.13873626373626
"Bering Sea Biennial Walleye Pollock Accoustic_Summer",1.85714285714286,2.07692307692308,1,"1",1.96703296703297
"Bering Sea/Bogoslof Walleye Pollock Acoustic Trawl Survey_Winter",1.85714285714286,2,1,"1",1.92857142857143
"Bottom Trawl Survey_Fall",2.03571428571429,2.04807692307692,32,"3+",2.0418956043956
"Bottom Trawl Survey_Spring",2.00510204081633,2.05769230769231,28,"3+",2.03139717425432
"Bottom Trawl Survey_Winter",2.13095238095238,2.11538461538462,6,"3+",2.1231684981685
"COOPERATIVE RESEARCH SURVEY - GOOSEFISH",2,1.92307692307692,1,"1",1.96153846153846
"CalCOFI_Fall",1.42857142857143,2.07692307692308,1,"1",1.75274725274725
"CalCOFI_Spring",1.45238095238095,2,3,"3+",1.72619047619048
"CalCOFI_Winter",1.45238095238095,2,3,"3+",1.72619047619048
"California Current Ecosystem Survey (CCES)",2.35714285714286,1.76923076923077,1,"1",2.06318681318681
"Coastal Pelagic Species (CPS) Survey (aka Sardine Survey)",2.17857142857143,1.80769230769231,2,"2",1.99313186813187
"Coastal Shark Bottom Longline",2.0952380952381,2.33333333333333,3,"3+",2.21428571428571
"Cooperative Atlantic States Shark Pupping and Nursery (COASTSPAN) survey (GADNR)",2.14285714285714,2.46153846153846,1,"1",2.3021978021978
"Cooperative Atlantic States Shark Pupping and Nursery (COASTSPAN) survey (SCDNR)",2.14285714285714,2.46153846153846,1,"1",2.3021978021978
"Coral Reef Ecosystem Research",2.57142857142857,1.84615384615385,2,"2",2.20879120879121
"Cowcod",1.42857142857143,2.07692307692308,1,"1",1.75274725274725
"Dry Tortugas Reef Fish Visual Census (RVC)",1.92857142857143,1.92307692307692,1,"1",1.92582417582418
"Eastern Bering Sea Groundfish Bottom Trawl",2.00340136054422,1.96459096459096,63,"3+",1.98399616256759
"Eastern Bering Sea Slope Bottom Trawl Survey_Summer",2,2,1,"1",2
"Eastern Bering Sea Upper Continenal Slope Groundfish Bottom Trawl",1.94897959183673,1.97435897435897,42,"3+",1.96166928309785
"Experimental Bottom Longline Survey",2.35714285714286,2.15384615384615,1,"1",2.25549450549451
"Florida Keys/Southeast Reef Fish Visual Census (RVC)",1.92857142857143,1.92307692307692,1,"1",1.92582417582418
"GOA/EBS/AI Longline Survey",1.61607142857143,2.05769230769231,8,"3+",1.83688186813187
