Report Type:,Latest_Assessments_Supported_by_Surveys,,,,,
Asmt Year From:,2005,,,,,
Asmt Year To:,2023,,,,,
Influence Degree:,Secondary,,,,,
,,,,,,
,,,,,,
Ecosystem,Survey Type,Survey Name,Entity Name,Assessment Year,Assessment Month,Degree of Influence
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Red king crab - Norton Sound,2022,2,Secondary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Red king crab - Pribilof Islands,2022,10,Secondary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,2022,12,Secondary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Southern Tanner crab - Bering Sea,2022,10,Secondary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Walleye pollock - Eastern Bering Sea,2022,12,Secondary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Island Groundfish Bottom Trawl,Giant octopus - Bering Sea / Aleutian Islands,2022,12,Secondary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Islands Cooperative Acoustic Survey Studies,Walleye pollock - Aleutian Islands,2022,12,Secondary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Groundfish Bottom Trawl,Giant octopus - Bering Sea / Aleutian Islands,2022,12,Secondary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Groundfish Bottom Trawl,Pacific ocean perch - Bering Sea / Aleutian Islands,2022,12,Secondary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Slope Bottom Trawl Survey_Summer,Giant octopus - Bering Sea / Aleutian Islands,2022,12,Secondary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska/Kenai/PWS Walleye Pollock Acoustic Trawl Survey_Winter,Walleye pollock - Western / Central / West Yakutat Gulf of Alaska,2022,12,Secondary
Alaska Ecosystem Complex,Other Method,Observer Data,Southern Tanner crab - Bering Sea,2022,10,Secondary
Atlantic Highly Migratory,Other Method,SEFSC Shark Bottom Longline Observer Program 1994-2009,Blacknose shark - Gulf of Mexico,2011,4,Secondary
Atlantic Highly Migratory,Other Survey,"BLLOP Atlantic (SEDAR 13-DW-12: Carlson et al.: Standardized catch rates of small coastal sharks from the Commercial Shark Fishery Longline Observer Program, 1994-2005)",Atlantic sharpnose shark - Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,"BLLOP GoM (SEDAR 13-DW-12: Carlson et al.: Standardized catch rates of small coastal sharks from the Commercial Shark Fishery Longline Observer Program, 1994-2005)",Atlantic sharpnose shark - Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,Dauphin Island Sea Lab (DISL) Bottom Longline; monthly longline survey initiated off the coast of Alabama in 2006,Blacknose shark - Gulf of Mexico,2011,4,Secondary
Atlantic Highly Migratory,Other Survey,"Gillnet Logs (SEDAR 13-DW-26: McCarthy: Standardized catch rates for small coastal sharks from the United States Gulf of Mexico and south Atlantic gillnet fishery, 1998-2005)",Atlantic Small Coastal Shark Complex,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,"Gillnet Logs (SEDAR 13-DW-26: McCarthy: Standardized catch rates for small coastal sharks from the United States Gulf of Mexico and south Atlantic gillnet fishery, 1998-2005)",Atlantic sharpnose shark - Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,"Gillnet Logs (SEDAR 13-DW-26: McCarthy: Standardized catch rates for small coastal sharks from the United States Gulf of Mexico and south Atlantic gillnet fishery, 1998-2005)",Finetooth shark - Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,MS Gillnet (SEDAR 13-DW-21: Hoffmayer and Ingram: Catch Rates and Size Composition of Small Coastal Sharks Collected During a Gillnet Survey of Mississippi Coastal Waters During 2001?2006),Finetooth shark - Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,MS Gillnet (SEDAR 13-DW-21: Hoffmayer and Ingram: Catch Rates and Size Composition of Small Coastal Sharks Collected During a Gillnet Survey of Mississippi Coastal Waters During 2001?2006),Atlantic Small Coastal Shark Complex,2007,11,Secondary
